AsBuilt_Name,Pages,Pipe_type
Garden Ridge Blvd North 102 Garden Ridge Church of Christ 2739,1,['Unknown']
Garden Ridge Blvd North 301 Garden Ridge Assisted Living Phase 1 & 2  The Beehive - Landscape Plan 2255-15,11,['Unknown' 'Good']
Garden Ridge Blvd North 577 Garden Ridge Substation Site 2051-08,10,['Unknown' 'Good' 'Bad']
Garden Ridge Blvd North 577 Texas New Mexico Highlands Station 2720,3,['Unknown']
Garden Ridge Blvd North 967 Nguyen Medical 2232-15,20,['Unknown' 'Bad' 'Good']
Garden Valley Addition 2611,29,['Unknown' 'Good']
Glencairn Ln 1597 Childtime Child Care 2734,7,['Unknown' 'Good']
Grandy's Ln 997 Grandy's 2664,2,['Good' 'Unknown']
Greenland Hills Addition 2078,1,['Unknown']
Harbor Heights Subdivision 2069,1,['Unknown']
Harn St 411 Longacre Offices 2208-14,6,['Unknown']
Hartwell Grading 2070-09,6,['Unknown']
Hebron 121 Station - Phase 2 2171-13,119,['Unknown' 'Good' 'Bad']
Hebron 121 Station - Phase 5 - 2353-17,118,['Unknown' 'Good' 'Bad']
Hebron Pkwy 740 Taco Casa Restaurant 2190-13,18,['Unknown' 'Bad' 'Good']
Hebron Pkwy 742 Jason's Deli 2306-16,18,['Unknown' 'Good' 'Bad']
Hembry St  635 McKenzie-Hembry Addition 2702,1,['Unknown']
Hembry St 600 Block Hembry Allen Street Warehouse 2701,1,['Unknown']
Hembry St 645 McKenzie-Hembry Addition 2703,1,['Unknown']
Hembry St 675 Marine Tech 2595,1,['Good']
Hembry St 702 Macedonia Baptist Church 2572,1,['Unknown']
HighPoint Oaks Estates 2204-14,45,['Unknown' 'Good' 'Bad']
Highland Dr 455 Evergreen at Vista Ridge 2093-10,18,['Unknown' 'Good' 'Bad']
Highpoint 1 Addition 2039,19,['Good' 'Unknown']
Hill Park Rd East 1150 1499 Pier 121 Marina Private Lift Station 2040-08,21,['Unknown' 'Good' 'Bad']
Hillside Dr 117 Test Technologies 2728,1,['Unknown']
Hillside Dr 118 Jim's Custom Paint & Body 2579,1,['Good']
Hillside Office Park 2088,15,['Unknown']
Holly Lane Addition 2047,3,['Unknown' 'Bad']
Hopper Addition 2596,1,['Good']
Houston St 135 Lewisville Center Addition 2780,1,['Unknown']
Huffines Plaza 229 Pancho's 2738,1,['Unknown']
Hunter's Glen - Phase 2 2102,13,['Unknown' 'Good']
Hunter's Glen 2092,16,['Unknown' 'Good']
Hunters Glen Addition Lots 2 3 & 4 Block E 2629,4,['Unknown']
I-35 E 2117,37,['Unknown' 'Bad']
I-35E North 101 Lewisville Driving Range 2771,2,['Good' 'Bad' 'Unknown']
I-35E North 1175 Norman International 2296-16,26,['Unknown' 'Good' 'Bad']
I-35E North 1202 Bluebell Creamery 2600,10,['Unknown' 'Good' 'Bad']
I-35E North 1204 Dickies Barbecue Pit 2507,3,['Good' 'Unknown']
I-35E North 1204 Rustic Wall and Terrace,1,['Unknown']
I-35E North 1206 May Trailers 2674,1,['Unknown']
I-35E North 1251 Lewisville Self-Storage 2084-10,20,['Unknown' 'Good' 'Bad']
I-35E North 1550 Dalton & Son Funeral Home 2673,1,['Good']
I-35E North 1700 Whittle Boats 2564,6,['Unknown' 'Good']
I-35E North 1708 Athletic Warehouse 2752,2,['Unknown' 'Good']
I-35E North 180 Taco Bueno 2776,6,['Unknown' 'Good']
I-35E North 1900 Blk Shivitz Addition 2300-16,4,['Unknown']
I-35E North 200 Hampton Inn 2519,2,['Unknown']
I-35E North 2139 McGee Park Addition 2655,7,['Unknown' 'Good']
I-35E North 2910 Sneaky Pete 2747,6,['Unknown']
I-35E North 2998 DCTA - Highland Village - Lewisville Lake Station,105,['Unknown' 'Good' 'Bad']
I-35E North 600 Wagnor's Crossing 2549,1,['Unknown']
I-35E South 101 Exxon Main Street 2665,1,['Unknown']
I-35E South 1128 Chili's 2669,2,['Unknown']
I-35E South 1133 Tia's Tortillas Restaurant & Cantina 2742,1,['Good']
I-35E South 1165  Lakeland Plaza 2719,6,['Unknown']
I-35E South 1165 Lakeland Plaza 2712,6,['Unknown']
I-35E South 1244 Olivers Automotive Service 2680,1,['Unknown']
I-35E South 1251 Spanish Trails Inn 2637,1,['Unknown']
I-35E South 1251 Taylor & Gray Addition 2749,4,['Unknown']
I-35E South 1301 AAMCO Transmission Center 2668,4,['Unknown']
I-35E South 1302 Bobcat of Lewisville 2117-11,22,['Unknown' 'Good' 'Bad']
I-35E South 1303 Colonial Mini-Warehouses 2746,1,['Unknown']
I-35E South 1305 Economy Inn 2663,1,['Unknown']
I-35E South 1310 PrideMore Building 2524,1,['Unknown']
I-35E South 1329 Furr's Cafeteria 2775,4,['Unknown' 'Good']
I-35E South 1400 Huffines Chevorlet 2509,6,['Unknown' 'Good']
I-35E South 1401 Royal Inn 2667,1,['Unknown']
I-35E South 1419 Public Storage 2598,5,['Unknown']
I-35E South 1601 AutoNation - Bankston Nissan of Lewisville 2177-13,14,['Unknown' 'Good']
I-35E South 1653 1_2 Jack in the Box 2660,14,['Unknown' 'Good']
I-35E South 1653 Jim McNatt Honda 2650,2,['Unknown' 'Good']
I-35E South 1655 Kettle Restaurant 2661,2,['Unknown']
I-35E South 1657 La Quinta 2766,5,['Unknown' 'Good']
I-35E South 1660 Brookhollow North 2381-18,16,['Unknown' 'Good' 'Bad']
I-35E South 1660 Brookhollow North Office Building 2644,10,['Unknown' 'Good' 'Bad']
I-35E South 2129 Jim's Custom Paint & Body I-35 2511,1,['Good']
I-35E South 2290 Bennigans 2640,19,['Unknown' 'Good' 'Bad']
I-35E South 2398 Denton County Inn 2562,9,['Unknown']
I-35E South 2415 54th Street Restaurant and Draft House in Lewisville 2307-16,29,['Unknown' 'Good' 'Bad']
I-35E South 2765 Service King 2104-10,25,['Unknown' 'Good' 'Bad']
I-35E South 2765 Service King Lewisville 2160-12,13,['Unknown']
I-35E South 400-500 Angel Center 2751,3,['Unknown']
I-35E South 501 Burger Street Kiosk 2672,1,['Unknown']
I-35E South 659 Hill Tire Company 2606,2,['Unknown']
I-35E South 669 The Black-eyed Pea 2724,1,['Good']
I-35E South 685 Midas Muffler 2500,1,['Unknown']
I-35E South 697 El Chico 2670,1,['Good']
I-35E South 701 Lewisville Shopping Center 2706,1,['Unknown']
I-35E South 893 Lewisville Volkswagon 2048,7,['Unknown']
Indian Oaks - Phase 4 2094,1,['Unknown']
Indian Oaks Addition Section 1 2095,25,['Good' 'Unknown' 'Bad']
Indian Oaks Addition Section 2 2098,23,['Unknown' 'Good']
Indian Oaks Addition Sections 3 & 4 2096,27,['Unknown']
Jones St 411 Platas Concrete Work 2021-07,7,['Unknown' 'Bad' 'Good']
Jones St 418 United Resin Adhesive Company 2690,2,['Unknown']
Jones St 455 Trugreen Warehouse 2099-10,11,['Unknown' 'Good']
Jones St 725 Dynagrid 2256-15,5,['Unknown' 'Bad']
Jones St 725 Dynagrid Expansion 2293-16,7,['Unknown' 'Bad']
Josey Lane & FM 544 16_ Waterline 2265-15,21,['Unknown' 'Good' 'Bad']
Justin Road Center 2851,1,['Unknown']
Justin Road Self-Storage 2838,1,['Unknown']
Kathryn St 103 La Petite Academy 2689,1,['Good']
Kathryn St 303 Plantation Office Park 2688,1,['Unknown']
Kealy Ave 1491 Carl Buck Warehouse 2505,1,['Unknown']
Kealy Ave 1495 Johnson Addition 2540,1,['Good']
